가맹점명,주소
여의도미나리삼겹(판교직영점),13524) 경기도 성남시 분당구 대왕판교로606번길 45 (삼평동) 2층 205호
칼수담(성남분당수내역점),13595) 경기도 성남시 분당구 백현로101번길 17 (수내동) 1층 108호
메가MGC커피(판교하이펙스점),"13493) 경기도 성남시 분당구 판교역로 240,  1층 112호(삼평동, 삼환하이펙스A동)"
후토루(판교삼평점)_KIOSK,"13494) 경기도 성남시 분당구 판교역로 231 , 지1층 B128호, B128-1호(삼평동, 에이치스퀘어 에스동)"
애니포(판교점),"13453) 경기도 성남시 수정구 금토로80번길 22 (금토동) 1층 115호(금토동, 트라이타워)"
우본관(정자),13558) 경기도 성남시 분당구 정자일로 158 (정자동) 101호
삼평상회,13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 지하 1층
우림 닭갈비,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 2층
두찜(분당백현점),13531) 경기도 성남시 분당구 판교역로 109 (백현동) 1층
맘스터치(수내역점),"13595) 경기도 성남시 분당구 백현로101번길 20 103호,104호"
찰리스버거(수내점),13595) 경기도 성남시 분당구 백현로101번길 13 (수내동) 1층 106호
우주부대찌개,13637) 경기도 성남시 분당구 구미로9번길 25 (구미동) 제1동 제1층 104-2호
179실비,13637) 경기도 성남시 분당구 구미로9번길 17 (구미동) 1층
행복청국장보리밥,"13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 지하1층 B-101호(삼평동,삼환하이펙스A동)"
주식회사 우본관,13558) 경기도 성남시 분당구 정자일로 158 (정자동) 101호
행복청국장보리밥,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 지하1층 B-101호
한마음 정육식당(판교테크노밸리점),13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 1층
판교 인생곱창,13524) 경기도 성남시 분당구 판교역로192번길 16 (삼평동) 1층
타이팔칠(Thai87),13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 1층
핸드메이드(판교이노베이션랩점),13453) 경기도 성남시 수정구 금토로80번길 11 (금토동) 근린생활동 지하1층 B109호
뚜레쥬르(분당수내역점),"13595) 경기도 성남시 분당구 백현로101번길 17 (수내동) , 110호(초림프라자)"
페이딤(판교점),13529) 경기도 성남시 분당구 판교역로 152 (백현동) 2층 9호
델리커리(판교파미어스몰점),13449) 경기도 성남시 수정구 창업로 18 (시흥동) 판교파미어스몰 P1동 2층 210-1호
커스텀커피(삼평동점),13494) 경기도 성남시 분당구 대왕판교로 670 1층 121호
텐퍼센트 판교하이펙스점,13493) 경기도 성남시 분당구 판교역로 230 (삼평동)  108호 텐퍼센트
돼지공탕하우(정자점),13560) 경기도 성남시 분당구 정자일로 135 (정자동) 1층
강호식당,13595) 경기도 성남시 분당구 황새울로258번길 10-9 (수내동) 1층
샐러디(판교역점),"13525) 경기도 성남시 분당구 대왕판교로606번길 58 1-20호, 1-29호(삼평동, 판교푸르지오월드마크)"
샐러디(판교카카오점),13529) 경기도 성남시 분당구 판교역로 166 1층
본우리반상(판교H스퀘어점),"13494) 경기도 성남시 분당구 판교역로 231 (삼평동, 에이치스퀘어 에스동) 지하1층 B102호"
카소미야(분당수내점),13595) 경기도 성남시 분당구 황새울로258번길 32 (수내동)  (수내동) 109.110호
메가MGC커피(판교역로점),"13524) 경기도 성남시 분당구 대왕판교로606번길 39 (삼평동, 럭스타워) 메가MGC커피(판교역로점) "
오백국수(판교LH테크노점),"13449) 경기도 성남시 수정구 창업로40번길 6 (시흥동, 판교 제2테크노밸리 LH 1단지) 지2층 7호"
수국정 판교,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 삼환하이펙스 A동 지하 121호
수국정 판교,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) A동 지하 121호
압구정샌드위치(판교 아브뉴프랑점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 122-1~2호 (삼평동, 판교 호반 써밋 플레이스)삼평동, 판교 써밋 플레이스)"
텐버거(판교점),13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 지1층 비-110호
베이징스토리(판교점),"13493) 경기도 성남시 분당구 판교역로 230 (삼평동) 1층 120-1, 121호"
한꼬마 김밥_QR,13636) 경기도 성남시 분당구 성남대로 51 (구미동) 1층 117호
프랭크버거(분당오리역점),"13637) 경기도 성남시 분당구 구미로 11,  1층 111호 (구미동, 포인트타운)"
푸가(판교점)_QR,13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 지하 1층 B125호
맘키스포카치아Momkey_KIOSK,13524) 경기 성남시 분당구 판교역로192번길 16 판교타워 101호 
홍대칼국수와족발(판교역점),13524) 경기도 성남시 분당구 대왕판교로606번길 45 (삼평동) 1층 111호
포앤타이(판교우림더블유씨티),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 2층
더진국수육국밥(수내역점),"13595) 경기도 성남시 분당구 황새울로200번길 32 (수내동) 1층 102,103호"
이도곰탕(판교직영점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 205호"
화란(트라이타워점),13453) 경기도 성남시 수정구 금토로80번길 22 (금토동) 2층
커피미학(판교점)_POS,"13525) 경기도 성남시 분당구 동판교로177번길 25 218,219호(상평동)"
더진국수육국밥(수내역점),"13595) 경기도 성남시 분당구 황새울로200번길 32 (수내동) 1층 102,103호"
뉴욕 전기구이,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 1층 122호
이소정카츠(판교점),13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 에스동 지하1층 B110호
장수본가해장국(수내직영점),13595) 경기도 성남시 분당구 황새울로258번길 42 (수내동) 1층
프롬 온앤오프,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) B111호
블리스버거(판교점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 지하1층 B113호
매취랑(수내점),13595) 경기도 성남시 분당구 백현로101번길 30 (수내동) 1층 105호
우동키노야(판교파미어스몰점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) D동 2층 207-2호
이춘명숙성회(분당정자역점),13558) 경기도 성남시 분당구 정자일로 162 (정자동) 1층 101호
주니아(판교it센터점),"13449) 경기도 성남시 수정구 창업로40번길 30 (시흥동) B208,B209"
일도씨닭갈비(판교점),13529) 경기도 성남시 분당구 분당내곡로 117 (백현동)  그레이츠판교 지하1층
감성커피(판교우림W시티점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층
빽다방(판교삼환하이펙스점),"13493) 경기 성남시 분당구 판교역로 230 B동 113호,112(일부)호"
메이크어케이크(아브뉴프랑판교점)_QR,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 1층 151호"
CU(판교H스퀘어2호점),"13494) 경기도 성남시 분당구 판교역로 231, 비124호(상평동, 에이치스퀘어에스동) "
하림FS(세미플렉스타워점),13486) 경기도 성남시 분당구 판교로 255번길 9-22 판교우림 W-CITY 903-1호
엔커피(센트럴판교점)_KIOSK,"12789) 경기도 성남시 수정구 금토로80번길 55 , 1층 101호,102호"
주식회사 메케_QR,13550) 경기도 성남시 분당구 대왕판교로 334 (궁내동) 1층
메이크어케이크_QR,13535) 경기도 성남시 분당구 동판교로52번길 21-6 (백현동) 1층
에프와이에스디_QR,13529) 경기도 성남시 분당구 판교역로 166 (백현동) 1층 유닛9-2
토브나인(tov9),"13446) 경기도 성남시 수정구 사송로 56 (사송동) 1층, 2층"
M포티투닷 B동카페,13449) 경기도 성남시 수정구 창업로40번길 20 SW드림센터 M포티투닷 B동카페
디저트39(판교알파돔점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지) 타워1동 2층 228호"
디저트39(판교알파돔점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지) 타워1동 2층 228호(백현동,알파리움1단지)"
려원쭈꾸미볶음,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 지하1층
려원쭈꾸미볶음,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 지하 1층
한스케익(아브뉴프랑점),13525) 경기도 성남시 분당구 동판교로 177번길 25 104호 
더피크닉,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) A동 130호
블루샥(판교우림W시티점),13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층
더벤티(판교하이펙스점),13493) 경기 성남시 분당구 판교역로 230 B동 1층 109호 
델리쉬베이글,13559) 경기도 성남시 분당구 정자일로 132 (정자동) 엠코헤리츠 4단지 1층 D105호 
씨티치킨앤펍,13559) 경기도 성남시 분당구 정자일로 132 (정자동) 엠코헤리츠 4단지 1층 D104호 
엠브로돈까스(분당수내점)_QR,13595) 경기도 성남시 분당구 황새울로258번길 10-9 (수내동) 2층 201호 
엠브로돈까스(분당수내점),13595) 경기도 성남시 분당구 황새울로258번길 10-9 (수내동) 2층 201호 
백소정(판교제2테크노밸리점)_KIOSK,"13449) 경기도 성남시 수정구 창업로 43 ,1층 A-105호(시흥동,판교글로벌비즈센터) "
마포갈비,13595) 경기도 성남시 분당구 수내로46번길 11 (수내동) 113호 
카페핸드메이드(판교5호점),13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동) 유스페이스2 B동 1층 120호 
맛있는천국,13636) 경기도 성남시 분당구 성남대로 51 (구미동) 1층 127호 
판교육담,"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지)  1층 105호, 106호"
쌉(SAAP) 판교테크원,13529) 경기도 성남시 분당구 분당내곡로 131 (백현동) 2층 
샐러드박스(판교H스퀘어점),13494) 경기도 성남시 분당구 판교역로 231 (삼평동) S동 지하 1층 106호 
우슴(판교점),"13524) 경기도 성남시 분당구 대왕판교로606번길 31 (삼평동) 105,106,107호 "
브라운버터_QR,13486) 경기도 성남시 분당구 판교로227번길 6 (삼평동) 1층 
판교집(수내직영점),13595) 경기도 성남시 분당구 백현로101번길 16 (수내동) 1층 102호 
옥된장(분당수내점),"13595) 경기도 성남시 분당구 백현로101번길 16 (수내동) 1층 104호, 105호 "
컴포즈커피(분당정자두산타워점),"13558) 경기도 성남시 분당구 정자일로 158 1층 103호(정자동, 백궁프라자2) "
랑데자뷰(오리점),"13636) 경기도 성남시 분당구 탄천상로151번길 20 (구미동) 20, 1층 랑데자뷰"
엘까르니따스(판교점),"13530) 경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지) 라스트리트 2동 2층"
샐러드박스(판교H스퀘어점),13494) 경기도 성남시 분당구 판교역로 231 (삼평동) S동 지하1층 106호
쌉(SAAP) 판교테크원,13529) 경기도 성남시 분당구 분당내곡로 131 (백현동) 2층 일부호(백현동) 
육회한 김스지,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 1층 
양파식당_QR,13595) 경기도 성남시 분당구 황새울로 216 (수내동) 지하 1층
버터루_QR,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 126호 버터루 
써브웨이(분당수내점),13595) 경기도 성남시 분당구 백현로101번길 21 (수내동) 1층 써브웨이 
막창막장,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 2층234호 
커피나인 판교제2테크노밸리,13449) 경기도 성남시 수정구 창업로 55 (시흥동) 106호 
비니투스판교,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 230호 "
담북김밥,13486) 경기 성남시 분당구 판교로255번길 9-22 판교 우림 W-CITY 114호
왓더버거(수내역점),13595) 경기도 성남시 분당구 황새울로258번길 10-7 (수내동) 1층 106호 
탄탄면공방(분당수내점),13595) 경기도 성남시 분당구 백현로101번길 17 (수내동) 1층 105호 
면계옥(수내본점),13595) 경기도 성남시 분당구 황새울로200번길 9-7 (수내동) 1층 101-2호 
감성커피(판교H스퀘어점),13494) 경기도 성남시 분당구 판교역로 231 (삼평동) 1층 
롱웨이브커피_KIOSK,"13493) 경기도 성남시 분당구 판교역로 240 , 삼환하이펙스A동 1층 114호"
바이브커피,13494) 경기도 성남시 분당구 대왕판교로 670 (삼평동) 110호 
붓처스컷(판교점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 2층 "
진부엉이꼬마김밥,13494) 경기도 성남시 분당구 판교역로241번길 22 (삼평동) 1층 118호 
돈몽,"13530) 경기도 성남시 분당구 판교역로 145 (백현동, 알파리움2단지) 타워2동 106호, 107호 "
커리146_QR,13595) 경기도 성남시 분당구 황새울로 216 (수내동) 지하 1층 
롱웨이브커피,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) A동 114호 
돈까스에 미친 김밥,13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층 
상기육개장,13536) 경기도 성남시 분당구 판교역로2번길 34 (백현동) 상기육개장 
베이커리차차,13558) 경기도 성남시 분당구 느티로 22 (정자동) 101호 베이커리차차 
커피빈(서현역점),13591) 경기도 성남시 분당구 황새울로360번길 27 센터포인트 서현 1층 커피빈(서현역점) 
윈썸커피,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 1층 119호 
오지(OG)버거 판교1호점,13449) 경기도 성남시 수정구 창업로 17 (시흥동) B동 1층 102-1호 
다께야(수내역점),13595) 경기도 성남시 분당구 황새울로200번길 22 (수내동) 1층 
바름(수내역점),13595) 경기도 성남시 분당구 수내로46번길 11 (수내동) 1층 
토호,13488) 경기도 성남시 분당구 판교로319번길 13 (삼평동) 지하층B104호 
슬로우캘리(오리역점),13637) 경기 성남시 분당구 성남대로 34 1층 104호 
돈블랑(판교점),"13530) 경기도 성남시 분당구 대왕판교로606번길 10 (백현동, 알파리움1단지) 1층 "
디엣테이블,13493) 경기도 성남시 분당구 판교역로 240 (삼평동) 지하 1층 
논산집,"13488) 경기도 성남시 분당구 판교로319번길 14 (삼평동, 성남판교 경기행복주택) 상가동 1층 1호(삼평동,성남판교 경기행복주택) "
먹보집,13595) 경기도 성남시 분당구 황새울로258번길 32 (수내동) 2층 
하동곰탕(화수분),13493) 경기도 성남시 분당구 판교역로 230 (삼평동) 지하 1층 
청담보리가_QR,13524) 경기도 성남시 분당구 대왕판교로606번길 45 (삼평동) 2층 리파인 
차엔 프리미엄,"13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 지하1층 비104,105호(삼평동,유스페이스1) "
정원,"13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) 1층 110-1,110-2호 "
계란집_QR,"13493) 경기도 성남시 분당구 판교역로 230 (삼평동) , B동 지하1층 B-107호(삼평동,삼환하이펙스) "
강순자옛맛김치찌개(수내점),13595) 경기도 성남시 분당구 황새울로200번길 9-7 (수내동) 1층 101-1호 
1992덮밥&짜글이(판교파미어스몰점)_KIOSK,13449) 경기 성남시 수정구 창업로 17 A동 2층 203-2호 
미소집,13595) 경기도 성남시 분당구 황새울로200번길 9-7 (수내동) 현대판테온 오피스텔 1층 미소집 
반포식스(판교역점),13524) 경기도 성남시 분당구 판교역로192번길 12 (삼평동) 2층 
세븐일레븐(오리역점),463870) 경기도 성남시 분당구 성남대로 383
GS25(분당오리역점),13636) 경기도 성남시 분당구 구미동 158하나이지타워1층107호 
GS25(분당포스빌점),13636) 경기도 성남시 분당구 구미동 156번지 분당포스빌오피스텔 101호 
메가MGC커피 (오리역점),"13637) 경기도 성남시 분당구 성남대로 38 , 케이엔에프코퍼레이션 1층 101호 (구미동) "
손에손잡고(판교직영점)_POS,"13524) 경기 성남 분당구 대왕판교로606번길 47 , 1층 102호"
파파존스(판교2테크노밸리점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) 판교아이스퀘어 F동 B102호 파파존스
오장동흥남집(판교점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스)  (삼평동, 판교 호반 써밋 플레이스) 106호 "
북창동순두부(판교파미어스몰점),13449) 경기도 성남시 수정구 창업로 18 (시흥동) P1동 209호 
빤닭빤닭(판교점),13449) 경기도 성남시 수정구 창업로 18 (시흥동) C1동 1층 117호 
카츠쇼신,"13525) 경기도 성남시 분당구 동판교로177번길 25 2층 204호(삼평동, 판교 호반 써밋 플레이스) "
메가MGC커피(판교위너스점),13453) 경기도 성남시 수정구 금토로80번길 51 (금토동) 메가엠지씨커피 판교위너스점 
주식회사 한상_QR,"13524) 경기도 성남시 분당구 판교역로 180 (삼평동) 1층 104,107~109호(삼평동,알파타워) "
바디쉐프(판교점),13449) 경기도 성남시 수정구 창업로 17 (시흥동) B동 3층 301-3호 
버거옥(판교역점),13529) 경기도 성남시 분당구 판교역로 138 (백현동) 1층 
샐러디(판교도시첨단점),13453) 경기도 성남시 수정구 금토로80번길 51 1층 105호 
판교 제일 순대국,13449) 경기도 성남시 수정구 창업로 43 (시흥동) B동 108호 
차엔,"13494) 경기도 성남시 분당구 판교역로 235 (삼평동) N동 1층 126호(삼평동,에이치스퀘어) "
느루집(판교아브뉴프랑점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 2층 208호 "
소소떡볶이(분당수내점)_KIOSK,"13597) 경기 성남시 분당구 내정로165번길 50 ,1층110호(수내동,크리스탈빌딩)"
송도갈비천지연(판교브릿지타워점),13486) 경기도 성남시 분당구 판교로227번길 6 (삼평동) 1층 
런치포유_QR,13449) 경기도 성남시 수정구 창업로 43 (시흥동) B-110~112호 
패티바이번(판교알파돔타워점),13529) 경기도 성남시 분당구 판교역로 152 (백현동) 1층 패티바이번 
옥소반(판교역점),"13525) 경기도 성남시 분당구 대왕판교로606번길 58 1층 1-80, 1-81호 "
예술 작품을 빚다 비즐 ,13494) 경기도 성남시 분당구 판교역로 231 (삼평동) H스퀘어 S동 1층 126호 
핸드메이드,13494) 경기도 성남시 분당구 대왕판교로 660 (삼평동) 지하1층 B117호 
스시혼,"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 1층137호 "
이치규 아브뉴프랑(판교점),"13525) 경기도 성남시 분당구 동판교로177번길 25 (삼평동, 판교 호반 써밋 플레이스) 2층 220호 "
런치스토리_QR,"13486) 경기도 성남시 분당구 판교로255번길 9-22 (삼평동) , B101호 일부 B102호(삼편동,우림W시티) "
